Line,Source_ID,Redshift,Flux_Jy,NEFD_Jy,t_int_hr
OIII 52$\rm \mu m$,21,2.9345,,,
OIII 52$\rm \mu m$,22,4.51,0.07676327514648437,6.183072059644694,45.054599350189505
OIII 52$\rm \mu m$,23,4.2958,0.261182373046875,7.968536974314771,6.464083610216803
OIII 52$\rm \mu m$,24,5.6554,0.18708502197265625,2.595920241222705,1.3370330999891133
OIII 52$\rm \mu m$,25,5.6541,0.039584796905517576,2.595920241222705,29.865057504128
OIII 52$\rm \mu m$,26,2.6833,,,
OIII 52$\rm \mu m$,27,4.0564,0.05648793029785156,9.476670804132446,195.4509437832422
OIII 52$\rm \mu m$,28,4.2246,0.11252373504638673,8.831463896708406,42.777423641528706
OIII 52$\rm \mu m$,29,5.1353,0.10432266235351563,2.99693011782262,5.731039695519493
OIII 52$\rm \mu m$,30,3.8519,0.06714847564697266,9.048209060043341,126.09284526949466
OIII 52$\rm \mu m$,31,4.4803,0.06775960540771485,6.342930730567851,60.852119383143176
OIII 52$\rm \mu m$,32,5.016,0.06581987762451172,5.396094915660664,46.674806617114434
OIII 52$\rm \mu m$,33,3.9875,0.04180474472045898,14.01531523984213,780.5344886597801
OIII 52$\rm \mu m$,34,4.8562,0.05280926513671875,5.795932869327563,83.64961625402103
OIII 52$\rm \mu m$,35,4.7989,0.051159069061279296,5.101544515918136,69.05507528893537
OIII 52$\rm \mu m$,36,2.2334,,,
OIII 52$\rm \mu m$,37,3.4039,,,
OIII 52$\rm \mu m$,38,3.7785,0.05426324462890625,10.337026798484976,252.00971037968964
OIII 52$\rm \mu m$,39,4.737,0.02905405616760254,5.317539932623869,232.6191606160203
OIII 52$\rm \mu m$,40,3.3684,,,
OIII 52$\rm \mu m$,41,3.3986,,,
OIII 52$\rm \mu m$,42,2.7855,,,
OIII 52$\rm \mu m$,43,4.2692,0.08063662719726562,8.614753586758535,79.26081226893793
OIII 52$\rm \mu m$,44,3.1276,,,
OIII 52$\rm \mu m$,45,2.5833,,,
OIII 52$\rm \mu m$,46,3.1642,,,
OIII 52$\rm \mu m$,47,4.4376,0.037440631866455076,6.6094000770458115,216.40896663683273
OIII 52$\rm \mu m$,48,5.323,0.04195016860961914,3.0548814696403164,36.82636173100374
OIII 52$\rm \mu m$,49,4.815,0.08139673614501954,5.197395239709664,28.313594951238855
OIII 52$\rm \mu m$,50,2.4807,,,
OIII 52$\rm \mu m$,51,2.026,,,
OIII 52$\rm \mu m$,52,2.7272,,,
OIII 52$\rm \mu m$,53,3.3466,,,
OIII 52$\rm \mu m$,54,2.4521,,,
OIII 52$\rm \mu m$,55,3.9977,0.13616184997558595,10.004785800868037,37.49231102292158
OIII 52$\rm \mu m$,56,4.0898,0.05484923553466797,9.177272740331198,194.41225043236193
OIII 52$\rm \mu m$,57,3.1551,,,
OIII 52$\rm \mu m$,58,4.4359,0.05809134292602539,6.668765761916532,91.51780633416926
OIII 52$\rm \mu m$,59,3.2601,,,
OIII 52$\rm \mu m$,60,4.7678,0.05509482574462891,5.12037087866761,59.98169278941905
OIII 52$\rm \mu m$,61,2.78,,,
OIII 52$\rm \mu m$,62,4.567,0.0555819206237793,5.854161395012868,77.03707617761758
OIII 52$\rm \mu m$,63,3.7604,0.061604846954345704,8.705757677366114,138.6822537847043
OIII 52$\rm \mu m$,64,3.8507,0.07384727478027343,9.048209060043341,104.25426117317103
OIII 52$\rm \mu m$,65,5.1937,0.04635728073120117,2.926372635448214,27.673293962214917
OIII 52$\rm \mu m$,66,2.8936,,,
OIII 52$\rm \mu m$,67,2.5073,,,
OIII 52$\rm \mu m$,68,4.2796,0.08124551391601563,12.3794521603087,161.22841306766864
OIII 52$\rm \mu m$,69,3.1413,,,
OIII 52$\rm \mu m$,70,5.2927,0.036863376617431644,2.9095083578187886,43.25999844630632
OIII 52$\rm \mu m$,71,2.7256,,,
OIII 52$\rm \mu m$,72,4.7555,0.053110446929931644,5.14231885294218,65.10219018996011
OIII 52$\rm \mu m$,73,3.8617,0.041938331604003905,9.109819965617294,327.66857900760704
OIII 52$\rm \mu m$,74,2.8759,,,
OIII 52$\rm \mu m$,75,3.9,0.04513974380493164,9.260554228960507,292.27608857877243
OIII 52$\rm \mu m$,76,4.302,0.046398643493652345,7.968536974314771,204.82554761769916
OIII 52$\rm \mu m$,77,5.8114,0.06131685638427734,2.5346530749430936,11.866285545608179
OIII 52$\rm \mu m$,78,5.5781,0.04448998641967773,2.767103315166281,26.86356899171087
OIII 52$\rm \mu m$,79,1.867,,,
OIII 52$\rm \mu m$,80,3.07,,,
NIII 57$\rm \mu m$,0,2.351,,,
NIII 57$\rm \mu m$,1,4.1227,0.09256674194335937,5.4718897560468855,24.266225515422327
NIII 57$\rm \mu m$,2,3.4436,0.2270286865234375,9.504002300988754,12.16995858738709
NIII 57$\rm \mu m$,3,4.8769,0.11923297882080078,2.858063500288716,3.9901430609356128
NIII 57$\rm \mu m$,4,3.0901,,,
NIII 57$\rm \mu m$,5,4.9104,0.23014787292480468,2.839139643855994,1.0568104157849496
NIII 57$\rm \mu m$,6,3.6139,0.16657200622558593,9.176048637904064,21.07389872783036
NIII 57$\rm \mu m$,7,3.4434,0.023544960021972657,9.504002300988754,1131.5002616757051
NIII 57$\rm \mu m$,8,4.2334,0.03840381622314453,5.10020396145901,122.47962017202558
NIII 57$\rm \mu m$,9,2.5149,,,
NIII 57$\rm \mu m$,10,3.957,0.17330799865722657,6.342930730567851,9.302083441975746
NIII 57$\rm \mu m$,11,4.2991,0.061654033660888674,7.079023116639386,91.55059655518602
NIII 57$\rm \mu m$,12,4.8031,0.08361949920654298,2.92348182518602,8.488348072209163
NIII 57$\rm \mu m$,13,2.7882,,,
NIII 57$\rm \mu m$,14,4.3492,0.09148223876953125,5.346780437740743,23.721854640698037
NIII 57$\rm \mu m$,15,5.0182,0.16657965087890625,2.595920241222705,1.6864609997860835
NIII 57$\rm \mu m$,16,3.233,0.14831251525878908,9.267461580808597,27.114618354723106
NIII 57$\rm \mu m$,17,5.7022,0.04437088012695312,2.0321680869396204,14.566683198303917
NIII 57$\rm \mu m$,18,5.6256,0.07065876007080078,2.113307162849106,6.211989797316613
NIII 57$\rm \mu m$,19,3.5948,0.09058114624023438,9.10517562933453,70.16790958041936
NIII 57$\rm \mu m$,20,6.9011,,,
NIII 57$\rm \mu m$,21,2.9345,,,
NIII 57$\rm \mu m$,22,4.51,0.08835619354248048,5.399794571804252,25.936895255031725
NIII 57$\rm \mu m$,23,4.2958,0.2807342224121094,5.795932869327563,2.9600120953799807
NIII 57$\rm \mu m$,24,5.6554,0.20751502990722656,2.1083025467085226,0.7168103377735886
NIII 57$\rm \mu m$,25,5.6541,0.045623653411865236,2.1083025467085226,14.829388939466796
NIII 57$\rm \mu m$,26,2.6833,,,
NIII 57$\rm \mu m$,27,4.0564,0.06510543823242188,5.701704447887508,53.2613754855635
NIII 57$\rm \mu m$,28,4.2246,0.12968978881835938,5.157090637955567,10.980837647670002
NIII 57$\rm \mu m$,29,5.1353,0.11808271789550781,2.5203445139302865,3.1636224326847797
NIII 57$\rm \mu m$,30,3.8519,0.07739231109619141,7.257156190506887,61.062533129587784
NIII 57$\rm \mu m$,31,4.4803,0.07809666442871094,5.290496847528953,31.868781410953538
NIII 57$\rm \mu m$,32,5.016,0.07126007080078126,2.595920241222705,9.215686626938206
NIII 57$\rm \mu m$,33,3.9875,0.048565845489501956,6.183072059644694,112.56003413607847
NIII 57$\rm \mu m$,34,4.8562,0.06086557769775391,2.8993117462550093,15.757373929860874
NIII 57$\rm \mu m$,35,4.7989,0.05896363830566406,2.9164618271495755,16.989537398666684
NIII 57$\rm \mu m$,36,2.2334,,,
NIII 57$\rm \mu m$,37,3.4039,0.08658742523193359,9.134139283214212,77.27928870444866
NIII 57$\rm \mu m$,38,3.7785,0.06254137039184571,9.494118543690238,160.03391199724004
NIII 57$\rm \mu m$,39,4.737,0.033486392974853514,2.92072523905766,52.83019041291092
NIII 57$\rm \mu m$,40,3.3684,0.08393625640869141,8.780073255411281,75.98617710229563
NIII 57$\rm \mu m$,41,3.3986,0.21019146728515625,9.109819965617294,13.044484847241112
NIII 57$\rm \mu m$,42,2.7855,,,
NIII 57$\rm \mu m$,43,4.2692,0.09720777893066407,5.326780227709145,20.852831098611727
NIII 57$\rm \mu m$,44,3.1276,,,
