# dn/dlogL [Mpc^-3] is the CII luminosity function. log is 10 based logarithm. n is number density of galaxies in log CII luminosity interval logL +/- dlogL per 2*dlogL.
# log (L_CII [L_sun]) bin edges are np.linspace(0,12,121)
#0 log (L_CII [L_sun])
#1 dn/dlogL [Mpc^-3] (z=4.5)
#2 dn/dlogL [Mpc^-3] (z=5.5)
#3 dn/dlogL [Mpc^-3] (z=6.0)
8.15 0.003487525230687603 0.0016776361108523786 0.0010981139519029568
8.25 0.003030960035224936 0.0014350863116929986 0.0009752106872130881
8.350000000000001 0.0026105584196008955 0.0012001161937573491 0.0008816973336447098
8.45 0.002224060160075568 0.0009777788778612508 0.0006679525254884165
8.55 0.0018466027955098977 0.000752915001557242 0.00046222314763798424
8.65 0.0015685952755004513 0.0005785823334114378 0.0003687097940696059
8.75 0.0013629149151682598 0.0004775199170950294 0.00025649376978755195
8.850000000000001 0.0011504538836163254 0.00034361221547578845 0.00023779109907387627
8.95 0.0009018292722257639 0.00030066068854131485 0.00014694955560745163
9.05 0.0007594351766111696 0.00019201859100117586 9.351335356837831e-05
9.15 0.0006848477931940013 0.0001465405036587921 4.274896163125866e-05
